agency,user_bureau,application_name,year_activated,application_description,database_contents,status,confidentiality,method_of_access,pdf_page
DEPARTMENT OF TRANSPORTATION,,Daily signal Maintenance (SGM),1981,"Tracks complaints by time and location, tracks contractors service, calculates liquidated damages for lateness.","Service contractors (track times, calculate liquidated damages for lateness), vendor payments, other complaints (by time' location).",,,,161
DEPARTMENT OF TRANSPORTATION,,"sign, Traffic, Accidents Terminal User System (STATUS)",1983,Inventory of traffic control/regulation signs and a description of them. There is no accident data kept.,"Infra-structure (other than bridges) inventory, traffic signs, city streets/addresses/zoning/election districts/political subdivisions/community boards.",,,,161
DEPARTMENT OF TRANSPORTATION,,Vehicular Travel Time Reporting system (VTTRS),,Sampled travel times by 16 cross streets and 12 avenues in Manhattan. Semi-annual reports with comparisons (2 day 12 hour sample (7AN to 7PH) per study).,"Air emissions complaints, management reporting, air quality, program reports, research/planning, grants/specific funded programs, transportation.,",,,,162
DEPARTMENT OF TRANSPORTATION,,Tow Pound Information system (TOPIS),,"Inventory of towed vehicles, dates they were in and out, plate number, state, make and color of the vehicle. Also location of the pound. For abandoned vehicles they maintain additional data for resale, owner name and vehicle identification number.","Administrative reports, abandoned vehicles.",,,,162
DEPARTMENT OF TRANSPORTATION,,Air Quality Modeling,,supports air quality monitoring program.,"Transportation, program reports, research/planning, capital construction contractors, capital projects, air quality.",,,,162
DEPARTMENT OF TRANSPORTATION,,Safe Teaa (S.A.F.E.),1988,"Records fatalities, from police reports, physical circumstances, location, conditions, vehicles involved, casual factors, and recommendations.","; Fatality-information, location, vehicle(s),· and description.",,,,163
DEPARTMENT OF TRANSPORTATION,,Tractor Trailer Accident Library (TRUCACC),1987,"This is limited to Highways only. It contains data on location, time, number of fatalities, number of injured, whether a summons was issued, surface conditions, type of accident, number of lanes blocked, length of delay in traffic, and contributing factors.","Fatality information, location, vehicle(s), and description.",,,,163
DEPARTMENT OF TRANSPORTATION,,"Traffic Count Process , Analysis System (TCPAS)",,"Average volume of vehicles by location, air emissions complaints, air quality.","Transportation, grantslspecific funded programs, researchl planning program reports, management reporting, air quality, air emissions complaints.",,,,163
DEPARTMENT OF TRANSPORTATION,,City Environmental Quality Review (CEQR),1977,"Internal tracking of Project approval process by location (Borough, community Board), title, description, project manager for New York City initials, dates by phases to final approval.","City planning licenses/permits, land use, environmental review, research/planning, program reports, transportation.",,,,164
DEPARTMENT OF TRANSPORTATION,,Computer Oriented Research project to Study the Expired (CORPSE),1988,"Records fatalities, arrest/violation codes, location, date, time, conditions, drug/alcohol related, and inspector.","Fatality information, dates, location, and description. Bureau of Bridges",,,,164
DEPARTMENT OF TRANSPORTATION,,Bid Letting system,1983,system maintains up-to-date listing of state and city item codes for all construction contracts. Also kept are records of cost of each item for every bid with every contract.,"Bridges, contractors, capital Construction, contracts, Management Reporting",,,,164
DEPARTMENT OF TRANSPORTATION,,Consultant Contracts,1978,Maintains listing of approved consultants for construction and rehabilitation projects and list of all jobs in bridge rehabilitation program.,"Bridges,'contracts, capital' construction, Management Reporting, Payments, Projects/Programs, Statistics.",,,,165
DEPARTMENT OF TRANSPORTATION,,DOT BIN Inventory,1978,"A Listing of all New York City bridges maintained by NYC DOT. This list augments state bridge inventory by adding information on bridges, such as pedestrian bridges, which do not show up in state listing.","Bridges, Inspections, Building/structure, statistics, Management Reporting.",,,,165
DEPARTMENT OF TRANSPORTATION,,Flagged Bridge Tracking - On-Line Version (FBT),,"Maintains listings of all flag conditions reported to city for repair. Flags are divided into 3 types: Structural Emergency (red), Structural in need of repair (yellow), and Safety.","Bridges, Public Safety inspections, Management Reporting, statistics, Public Complaints.",,,,165
DEPARTMENT OF TRANSPORTATION,,Flagged Bridge Tracking - Batch (HVS) Version,1978,"Uses same files as above, but is used for generating large reports in IBM Batch Mode.","Bridges, Public Safety inspections, Management Reporting, Statistics, Public Complaints.",,,,166
DEPARTMENT OF TRANSPORTATION,,Microfilm Index,1984,Maintains a list of drawings of all the cities bridges with a cross reference to where the original drawings are stored.,Bridges.,,,,166
DEPARTMENT OF TRANSPORTATION,,Project Status Monitoring,1983,Maintains milestone data for all bridges in rehabilitation program.,"Bridges, management reporting, capital construction contracts, projects/programs, miscellaneous statistics.",,,,166
DEPARTMENT OF TRANSPORTATION,,state BIN Inventory,,"A data base received froa New York State DOT of all state bridges with pertinent data, such as year built, length of bridge, etc.","Manageaent reporting, aiscellaneous'statistics, building/ structure inspections, bridges.",,,,167
DEPARTMENT OF TRANSPORTATION,,Annual Bridge Report,,A syst.. used to combine information froa inspection reports to produce a report annually on actual condition of each of the cities bridges.,"Bridges, Manageaent Reporting, Manpower Reports, Statistics, Projects/Programs, Tunnels. Parking Violations Bureau",,,,167
DEPARTMENT OF TRANSPORTATION,,Summons Tracking Accounts Receivable Systea (STARS),1988,"Vehicle registration, registered owner, parking summons, payment, disposition, and enforceaent information.","Fine collections/accounting, parking scofflaws.",,,,167
DEPARTMENT OF YOUTH SERVICES,,Youth Services Integrated Database (YBID),1990,"The Department of Youth Services Integrated Database is a series of interconnected systems that track approximately 700 contracts from the RFP process through negotiation and registration, and continues throughout the life of the document. All information both fiscal and programmatic is stored. The system tracks both in-house 'and contract agency fiscal affairs.","Financial accounting, management reporting, service contracts, demographic statistics, funding statistics, adolescent programs, child care programs, computer hardware inventory, computer software inventory, education programs, federal/state grants, federal/state reimbursements,",,,,169
